Name,ID,Race,Hispanic,Source: http://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=140&type=8&season=2016&month=0&season1=2016&ind=0&team=0&rost=0&age=0&filter=&players=0&page=1_30
Clayton Kershaw,477132,White,0,
Noah Syndergaard,592789,White,0,
Jose Fernandez,605228,Other,1,
Max Scherzer,453286,White,0,
Johnny Cueto,456501,Black,1,
Rick Porcello,519144,White,0,
Justin Verlander,434378,White,0,
Chris Sale,519242,White,0,
Corey Kluber,446372,White,0,
Madison Bumgarner,518516,White,0,
Jose Quintana,500779,Other,1,
Masahiro Tanaka,547888,Asian,0,
David Price,456034,Black,0,
Kyle Hendricks,543294,White,0,
Jon Lester,452657,White,0,
Stephen Strasburg,544931,White,0,
Aaron Sanchez,592717,Other,1,
Jake Arrieta,453562,White,0,
Jon Gray,592351,White,0,
Marcus Stroman,573186,Black,0,
Carlos Martinez,593372,Black,1,
Matt Shoemaker,533167,White,0,
Kenta Maeda,628317,Asian,0,
Jacob deGrom,594798,White,0,
Tanner Roark,543699,White,0,
Jeremy Hellickson,476451,White,0,
J.A. Happ,457918,White,0,
Ervin Santana,429722,Black ,1,
Julio Teheran,527054,Black,1,
Michael Pineda,501381,Black,1,
Chris Archer,502042,Black,0,
John Lackey,407793,White,0,
Collin McHugh,543521,White,0,
Robbie Ray,592662,White,0,
Marco Estrada,462136,Other,1,
Kevin Gausman,592332,White,0,
Drew Pomeranz,519141,White,0,
Michael Fulmer,605242,White ,0,
Cole Hamels,605242,White,0,
Adam Wainwright,425794,White,0,
Bartolo Colon,112526,Other,1,
Jerad Eickhoff,595191,White,0,
Gio Gonzalez,461829,Black ,1,
Zach Davies,605200,White,0,
Steven Wright,453214,White,0,
Danny Duffy,518633,White,0,
Carlos Rodon,607074,White,0,
Trevor Bauer,545333,White,0,
Dallas Keuchel,572971,White,0,
CC Sabathia,282332,Black,1,
Jeff Samardzija,502188,White,0,
Chad Bettis,518452,White,0,
Mike Leake,502190,White ,0,
Carlos Carrasco,471911,Other,1,
Ricky Nolasco,445060,Other,1,
Hisashi Iwakuma,547874,Asian,0,
Chris Tillman,501957,White,0,
Matt Moore,519043,White,0,
Ivan Nova,467100,Black,1,?
Zack Greinke,425844,White,0,
Tyler Chatwood,543022,White,0,
Jake Odorizzi,543606,White,0,
Drew Smyly,592767,White,0,
Martin Perez,527048,White,1,
Sean Manaea,640455,White,1,
Archie Bradley,605151,White,1,
Mike Fiers,571666,White,0,
Ian Kennedy,453178,White,0,
Ubaldo Jimenez,434622,Other,1,
Kendall Graveman,608665,White,0,
Jhoulys Chacin,468504,Other,1,
Wade Miley,489119,White,0,
Edinson Volquez,450172,Black,1,
Yordano Ventura,570649,Black,1,
Jason Hammel,434628,White,0,
Jaime Garcia,448802,Other,1,
Dan Straily,573185,White,0,
Doug Fister,450729,White,0,
Kyle Gibson,502043,White,0,
Tom Koehler,543408,White,0,
Felix Hernandez,433587,Other,1,
R.A. Dickey,285079,White,0,
Josh Tomlin,458708,White,0,
Jimmy Nelson,519076,White,0,
Anibal Sanchez,434671,White,1,
Chase Anderson,502624,White,0,
Patrick Corbin,571578,White,0,
Matt Wisler,605538,White,0,
Francisco Liriano,434538,Black,1,
Brandon Finnegan,605232,White,0,
Hector Santiago,502327,White,1,
Luis Perdomo,466412,Black,1,
Luis Perdomo,606131,Black,1,
Jered Weaver,450308,White,0,
James Shields,448306,White,0,